"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
135,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,987,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,957,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0
