strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
Boosted YLE (XS=0.8),0.8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),1,Maximum total population,100,10530.46,148.84317691157804,14.884317691157804,1.9842169515864172,10500.926284524407,10559.993715475592
Boosted YLE (XS=0.8),1,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),1.2,Maximum total population,100,10553.73,156.27125180727947,15.627125180727948,1.9842169515864172,10522.722393311837,10584.737606688162
Boosted YLE (XS=0.8),1.2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),1.4000000000000001,Maximum total population,100,10588.41,151.73009629342536,15.173009629342536,1.9842169515864172,10558.303457086875,10618.516542913125
Boosted YLE (XS=0.8),1.4000000000000001,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),1.6,Maximum total population,100,10562.02,174.8432475451117,17.48432475451117,1.9842169515864172,10527.327306435058,10596.712693564943
Boosted YLE (XS=0.8),1.6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),1.7999999999999998,Maximum total population,100,10551.96,180.13165331293814,18.013165331293813,1.9842169515864172,10516.217971997918,10587.70202800208
Boosted YLE (XS=0.8),1.7999999999999998,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),2,Maximum total population,100,10572.23,170.81863824453455,17.081863824453457,1.9842169515864172,10538.335876234829,10606.12412376517
Boosted YLE (XS=0.8),2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),2.1999999999999997,Maximum total population,100,10595.25,189.45644604894008,18.945644604894007,1.9842169515864172,10557.657730816238,10632.842269183762
Boosted YLE (XS=0.8),2.1999999999999997,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),2.4,Maximum total population,100,10546.16,155.99078708874333,15.599078708874334,1.9842169515864172,10515.20804359672,10577.11195640328
Boosted YLE (XS=0.8),2.4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),2.6,Maximum total population,100,10592.03,156.1829059180617,15.618290591806169,1.9842169515864172,10561.039923052937,10623.020076947065
Boosted YLE (XS=0.8),2.6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),2.8000000000000003,Maximum total population,100,10581.8,176.53946249544833,17.653946249544834,1.9842169515864172,10546.770740589256,10616.829259410742
Boosted YLE (XS=0.8),2.8000000000000003,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),3,Maximum total population,100,10597.2,165.71065204753796,16.571065204753797,1.9842169515864172,10564.319411514884,10630.080588485118
Boosted YLE (XS=0.8),3,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),3.2,Maximum total population,100,10603.66,138.2439813656941,13.82439813656941,1.9842169515864172,10576.22939487194,10631.09060512806
Boosted YLE (XS=0.8),3.2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),3.4000000000000004,Maximum total population,100,10609.06,178.18874455719327,17.818874455719328,1.9842169515864172,10573.70348724677,10644.416512753229
Boosted YLE (XS=0.8),3.4000000000000004,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),3.5999999999999996,Maximum total population,100,10590.48,153.3743344391312,15.337433443913119,1.9842169515864172,10560.04720456676,10620.91279543324
Boosted YLE (XS=0.8),3.5999999999999996,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),3.8,Maximum total population,100,10610.96,176.34813594281357,17.634813594281358,1.9842169515864172,10575.96870392816,10645.951296071838
